,value,metric,type
0,0.7137356925626882,fde,best_of
1,1.047719257582631,fde,best_of
2,0.21925218007573188,fde,best_of
3,1.269605947949776,fde,best_of
4,1.0557143549178822,fde,best_of
5,0.1408572920259496,fde,best_of
6,0.7780421406381888,fde,best_of
7,0.1147514186941626,fde,best_of
8,0.020005619715188234,fde,best_of
9,0.4582240792589371,fde,best_of
10,0.0795109977280399,fde,best_of
11,0.009576391284161606,fde,best_of
12,0.41634651444668236,fde,best_of
13,0.16698996837786312,fde,best_of
14,0.021803682828747263,fde,best_of
15,0.3345682622977448,fde,best_of
16,0.13284477116106325,fde,best_of
17,0.0469772085747785,fde,best_of
18,0.3191633554320883,fde,best_of
19,0.1675028111897919,fde,best_of
20,0.053556086791720296,fde,best_of
21,0.31983734056649216,fde,best_of
22,0.17195788304815954,fde,best_of
23,0.023895255295633255,fde,best_of
24,0.2649462417233468,fde,best_of
25,0.3854106253050539,fde,best_of
26,0.05584253097911102,fde,best_of
27,0.23412040187794,fde,best_of
28,0.13686177180754505,fde,best_of
29,0.07498216803870274,fde,best_of
30,0.5406172563233367,fde,best_of
31,0.15837729270027248,fde,best_of
32,0.021414347686206404,fde,best_of
33,0.7676159644017537,fde,best_of
34,0.08722456522098335,fde,best_of
35,0.04314280417406259,fde,best_of
36,0.6493345408557045,fde,best_of
37,0.22855696762137515,fde,best_of
38,0.07969386543230379,fde,best_of
39,1.8139050362085758,fde,best_of
40,0.31513531447352827,fde,best_of
41,0.019402580001113234,fde,best_of
42,1.0968525741920783,fde,best_of
43,0.37523335607002295,fde,best_of
44,0.012989306507068445,fde,best_of
45,0.5241697908313835,fde,best_of
46,0.04058482456432224,fde,best_of
47,1.2681998102719267,fde,best_of
48,0.06816667247520924,fde,best_of
49,0.19958672014253853,fde,best_of
50,0.07274475466970674,fde,best_of
51,0.4319122311139415,fde,best_of
52,0.12120414912504454,fde,best_of
53,0.3009619165450892,fde,best_of
54,0.06979769105083797,fde,best_of
55,0.37188331101829214,fde,best_of
56,0.056270023584523106,fde,best_of
57,0.32188140326785747,fde,best_of
58,0.06456440441986061,fde,best_of
59,0.30814529477729014,fde,best_of
60,0.7391340262870921,fde,best_of
61,0.5079147561959214,fde,best_of
62,0.38258620737103677,fde,best_of
63,0.03611600387848598,fde,best_of
64,1.6678806420112648,fde,best_of
65,3.175177899102732,fde,best_of
66,0.9740285676951788,fde,best_of
67,0.6286112249166709,fde,best_of
68,0.6635541592231335,fde,best_of
69,0.7153261848194167,fde,best_of
70,0.4867959642658942,fde,best_of
71,0.543493615237744,fde,best_of
72,1.0092262630305526,fde,best_of
73,3.1349223769926433,fde,best_of
74,1.051375316337894,fde,best_of
75,0.7703051596402058,fde,best_of
76,0.6853809305557986,fde,best_of
77,1.1917903497982543,fde,best_of
78,1.3236692110531054,fde,best_of
79,1.3355519621331173,fde,best_of
80,0.3451580401220569,fde,best_of
81,1.3573382018374658,fde,best_of
82,0.4190469906249096,fde,best_of
83,0.5329684318843366,fde,best_of
84,0.28241221901149177,fde,best_of
85,0.1344596832853818,fde,best_of
86,0.10804175343799033,fde,best_of
87,0.2092082306927981,fde,best_of
88,0.02581553769157482,fde,best_of
89,0.08831672045666243,fde,best_of
90,0.5310409596626038,fde,best_of
91,0.5655240345165617,fde,best_of
92,1.1998961965399404,fde,best_of
93,0.4346064197394177,fde,best_of
94,1.3719970971415165,fde,best_of
95,2.1010250640862393,fde,best_of
96,1.6858543742276082,fde,best_of
97,3.2941268009843827,fde,best_of
98,3.1355241339541746,fde,best_of
99,0.7373901788150733,fde,best_of
100,1.1685012837845905,fde,best_of
101,2.3655607715167024,fde,best_of
102,0.5839512304558792,fde,best_of
103,0.8399261479457244,fde,best_of
104,0.6438665146529053,fde,best_of
105,0.2483088138758353,fde,best_of
106,0.4679096875587334,fde,best_of
107,0.6412027867357537,fde,best_of
108,0.35036040650139383,fde,best_of
109,0.7362229432831029,fde,best_of
110,0.3962797898964768,fde,best_of
111,0.3000203354634277,fde,best_of
112,0.4350750228335547,fde,best_of
113,0.27755039151274197,fde,best_of
114,0.3084899842321289,fde,best_of
115,0.9045250748185546,fde,best_of
116,0.5062597917364516,fde,best_of
117,1.2526363509028264,fde,best_of
118,2.1246221262754923,fde,best_of
119,0.08681858669761086,fde,best_of
120,0.5638085356522146,fde,best_of
121,1.890083731975621,fde,best_of
122,0.5750890603779852,fde,best_of
123,3.497847714309574,fde,best_of
124,1.455307688646258,fde,best_of
125,0.5733782482367022,fde,best_of
126,3.1572522725637575,fde,best_of
127,0.7706077783562464,fde,best_of
128,1.8621522280152039,fde,best_of
129,2.511515857523124,fde,best_of
130,1.261397690243316,fde,best_of
131,2.0869730580133994,fde,best_of
132,1.5276446257823892,fde,best_of
133,1.1196762774996,fde,best_of
134,1.679844020521584,fde,best_of
135,0.1167404919192724,fde,best_of
136,0.5384375729111255,fde,best_of
137,0.5402109561382659,fde,best_of
138,0.21302567642754439,fde,best_of
139,0.4820734651198337,fde,best_of
140,0.5242178297195006,fde,best_of
141,1.5566333218858321,fde,best_of
142,0.2033005460145096,fde,best_of
143,1.8463256802330634,fde,best_of
